CODIGO,NUMERO,NOME,GRUPO,TIPO,MEDICAMENTO,MATERIA_PRIMA,UNIDADE,NUMERO_FAB,ESTOQUE_MIN,ESTOQUE_IDEAL,ESTOQUE_DISP,CUSTO,LUCRO,VENDA,DOLAR,ABC,FORNECEDOR,LOCAL,GAVETA,Utilizado,FABRICANTE,SUBGRUPO,NOMECURTO,P_FOTO,NC_MERCOSUL,C_CLAS_FISCAL,C_CST_O,C_CST,C_ECF_ALIQ,C_ICMS,C_ICMS_ST,C_IPI,C_RED_BCALC,ULTIMA_VENDA,ULTIMA_COMPRA,PODE_DESCONTO,DESCONTO_MAX,PESO_BRUTO,PESO_LIQUIDO,CFOP_INUF,CFOP_OUTUF,ARQUIVADO,PRECO_1,PRECO_2,GTIN,USA_SERIAL,vTotTrib,NUMERO_ORIGINAL,cANP,CST_IPI_PIS_COFINS,VALIDADE,USA_LOTES,cBenef,indEscala,CNPJFab,PIS_ALIQ,COFINS_ALIQ,IPI_cEnq,CEST,vBCSTRet,vICMSSTRet,pST,vICMSSubstituto,pRedBCEfet,vBCEfet,pICMSEfet,vICMSEfet,ML_category_id,ML_video_id,ML_warranty,ML_Description,ITEM_REGRAFISCAL_IDPK,REGRAFISCALPDV_IDPK,CST_CBSIBS,ClassTrib_CBSIBS,AliquotaCBS,AliquotaIBSUF,AliquotaIBSMun,pRedAliqCBS,pRedAliqIBSUF,pRedAliqIBSMun,OBS_REFORMA
516,2638,DIODO LASER 658NM - 180MW,,C,N,N,UN,002638,0,0,2,"158,04",-100,0,0,0,2,,,,HTM,,DIODO LASER 658NM - 180MW,,85414112,,2,101,0,0,0,0,100,,19/06/2026,True,100,0,0,5102,6102,False,0,0,,False,"35,81",,,99|99|00,,False,,S,,0,0,999,0,0,0,18,"28,12",0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,
452,400,TRANSDUTOR ULTRASSOM 3MHZ 50MM,,C,N,N,UN,TDULS00400,0,0,2,"441,47","83,4779",810,"161,3546",0,3,,,VELOX,,,TRANSDUTOR ULTRASSOM 3MHZ,,90189099,,0,101,0,0,0,0,100,25/06/2026,21/05/2026,True,100,0,0,5102,6102,False,810,810,,False,"32,05",,,99|99|00,,False,,S,,0,0,999,0,0,0,12,"52,98",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
453,1700,CI PTH TO-39 PN MLX90614ESFDCH000TU,,C,N,N,UN,CIPTH01700,0,0,1,"769,41",0,0,0,0,3,,,,,,CI PTH TO-39 PN MLX90614E,,85423120,,2,00,,0,0,0,100,,20/05/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,4,"30,78",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
454,25010220,COPO ALUMINIO LONGITUDINAL ANODIZADO THF1402 (OCTOPOLAR),,C,N,N,UN,25010220,0,0,24,"22,5",0,0,0,0,10,,,,,,COPO ALUMINIO LONGITUDINA,,90330000,,0,00,,0,0,0,100,,15/05/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,18,"3,69",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
455,3032199,PLACA SMD APLICADOR PCI LAS060103A  - MONTADA                                    Ns: 0225049558,,C,N,N,UN,03032199,0,0,2,"421,94",0,0,0,0,4,,,,,,PL SMD APLICADOR PCI LAS0,,85389010,,0,101,0,0,0,0,100,,28/04/2026,True,100,0,0,5102,6102,False,0,0,,False,"27,92",,,99|99|00,,False,,S,,0,0,999,0,"592,22","44,74",18,"61,86",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
456,3032094,PLACA SMD APLICADOR MODELLATA PCI4013 MONTADA                                    Ns: 0225055748,PLACAS ELETRÔNICAS,C,N,N,UN,03032094,0,0,4,"191,52",-100,0,0,0,4,,,,,,PL SMD APLICADOR MODELLAT,,85389010,,0,101,0,0,0,0,100,,28/04/2026,True,100,0,0,5102,6102,False,0,0,,False,"27,92",,,99|99|00,,False,,S,,0,0,999,0,"268,8","20,31",18,"28,08",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
457,21200016,AGUA DEIONIZADA,,C,N,N,UN,21200016,0,0,44,"8,2","448,7805",45,"8,9641",0,19,,,,,,AGUA DEIONIZADA,,28539019,,0,101,0,0,0,0,100,27/05/2026,27/05/2026,True,100,0,0,5102,6102,False,45,45,7898919607150,False,"31,45",,,99|99|00,,False,,S,,0,0,999,0,0,0,18,"1,48",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
460,9901,PLACA MONTADA MANOPLA 3 FUNÇOES (ILUMIN + ELETRODO) NIOO R01,,C,N,N,UN,PMMAN09901,0,0,2,"131,57",0,0,0,0,3,,,,,,PL MONTADA MANOPLA 3 FUNÇ,,90330000,,0,00,,0,0,0,100,,27/04/2026,True,100,0,0,,,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,12,"15,79",0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
461,2402,PLACA MONTADA MODULO RECONHECIMENTO SPECTRA MEDIC R02,PLACAS ELETRÔNICAS,C,N,N,UN,PMMOD02402,0,0,1,"297,71","692,7178",2360,"470,1195",0,3,,,,,,PL MONTADA MODULO RECONHE,,90330000,,0,101,0,0,0,0,100,,27/04/2026,True,100,0,0,5102,6102,False,2360,2360,,False,"32,53",,,99|99|00,,False,,S,,0,0,999,0,0,0,12,"35,73",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
462,9170,CABO DISPERSIVO EMB. 1UN.,,C,N,N,UN,009170,0,0,3,102,"76,3726","179,9","35,8367",0,2,,,,,,CABO DISPERSIVO EMB. 1UN.,,90189099,,0,101,0,0,0,0,100,13/07/2026,13/05/2026,True,100,0,0,5102,6102,False,"179,9","179,9",7899894202941,False,"32,05",,,99|99|00,,False,,S,,0,0,999,0,0,0,18,"17,54",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
