Codigo/SKU;Descricao;Estoque MGV;Estoque Bling;Diferenca Saldo;NCM MGV;NCM Bling;Preco MGV (R$);Preco Bling (R$);Status;Diagnostico Divergencias
"528";"ACESSORIO BLISTER FILTRO 28MM 5PCT";80;0;80;"84212990";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (80) vs Bling (0) [Dif: +80] | NCM divergente: MGV (84212990) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"476";"ACESSORIO BLISTER FILTRO M5 X 15MM";1;0;1;"84212990";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (84212990) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"527";"ACESSORIO BLISTER MANGUEIRA 2 VIAS";4;0;4;"84212990";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (84212990) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"529";"ACESSORIO BLISTER VENTOSA 8MM";1;0;1;"84212990";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (84212990) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"1200";"ACESSORIO ELETRODO FACIAL MD28 NAC";0;0;0;"90189099";"";318.00;318.00;"FISCAL_DIVERGENCE";"NCM divergente: MGV (90189099) vs Bling (Não preenchido)"
"518";"ACESSORIO GARRA JACARE PINO 2MM";7;0;7;"90189099";"";0.00;15.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (7) vs Bling (0) [Dif: +7] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 15.00)"
"3030067";"ACRILICO PAINEL HECCUS TURBO - 4MM                                               NS: 0000000123";9;0;9;"39205900";"";190.00;190.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (9) vs Bling (0) [Dif: +9] | NCM divergente: MGV (39205900) vs Bling (Não preenchido)"
"3030055";"ACRILICO PAINEL THERMOPULSE - 4 MM                                               NS: 0000000076";1;0;1;"39205900";"";0.00;184.38;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39205900) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 184.38)"
"789309579454";"ADAPTADOR AC/DC";3;0;3;"90189099";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (3) vs Bling (0) [Dif: +3] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"3025013";"ADAPTADOR P/ MANGUEIRA - HOOKE                                                   NS: 0000000073";2;0;2;"39174090";"";0.00;18.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39174090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 18.00)"
"30906001";"ADAPTADOR UNIVERSAL KIT DIAMOND";1;0;1;"90189099";"";55.00;55.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (90189099) vs Bling (Não preenchido)"
"80010371";"ADESIVO ADE62O04 APLICADOR CORPORAL EUS1401";3;0;3;"39219019";"";185.00;185.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (3) vs Bling (0) [Dif: +3] | NCM divergente: MGV (39219019) vs Bling (Não preenchido)"
"80010367";"ADESIVO ADE87N14 APLICADOR LLT1307";0;0;0;"39219019";"";120.00;120.00;"FISCAL_DIVERGENCE";"NCM divergente: MGV (39219019) vs Bling (Não preenchido)"
"80010280";"ADESIVO ADEB5M05 CABECOTE (KAVIX) R04";2;0;2;"39219019";"";0.00;73.50;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39219019) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 73.50)"
"80010450";"ADESIVO ADEDAP08 R00 APLICADOR MEDIO HYGIALUX LLT1601";2;0;2;"39199000";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199000) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"80010695";"ADESIVO ADEK2U06 LOGO ARTIX APLICADOR ATP200 ARTIX ECL2101 R01";4;0;4;"39219019";"";0.00;6.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39219019) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 6.00)"
"80010696";"ADESIVO ADEK2U07 APLICADOR ATP120 ARTIX ECL2101 R01";1;0;1;"39219019";"";0.00;42.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39219019) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 42.00)"
"80010697";"ADESIVO ADEK2U08 APLICADOR ATP150 ARTIX ECL2101 R01";6;0;6;"39199090";"";0.00;81.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (6) vs Bling (0) [Dif: +6] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 81.00)"
"80010698";"ADESIVO ADEK2U09 APLICADOR ATP200 ARTIX ECL2101 R01";4;0;4;"39219019";"";0.00;57.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39219019) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 57.00)"
"80010761";"ADESIVO ADEK2U16 LOGO ARTIX APLICADOR ATP150 ARTIX ECL2101 R01";6;0;6;"39199090";"";0.00;6.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (6) vs Bling (0) [Dif: +6] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 6.00)"
