code;nome;preco;placeholder;resultado
BLING-16360060674;SUPORTE PLASTICO PARA TRANSDUTOR                                                 Ns: 0000000233;14.4;não;IMPORTADO
BLING-16360060673;CABECOTE DE SILICONE 8CM2                                                        Ns: AUTO039322;155.2;não;IMPORTADO
BLING-16360060672;TAMPA GABINETE SAFIRA V2.0                                                       Ns: 0000000047;47.2;não;IMPORTADO
BLING-16360056809;ADESIVO PAINEL SONOPULSE III - VS 2                                              Ns: 0000000011;54.4;não;IMPORTADO
00002;CABO MICROFONE 4 X 0,30MM CINZA ESP HTM;14.87;não;IMPORTADO
00007;JACK J1 (PLUG ISOLADO) - 90o. SOLDA PLACA                                        Ns: 0000000077;3.36;não;IMPORTADO
00008;BRACO DIRECIONADOR DERMOSTEAM                                                    Ns: 0000000132;116;não;IMPORTADO
BLING-16327865547;BRACO DIRECIONADOR DERMOSTEAM                                                    Ns: 0000000134;116;não;IMPORTADO
BLING-16327865503;RESERVATORIO PARA VAPOR 127V (PREPARADO)                                         Ns: 1292341001;228;não;IMPORTADO
BLING-16327864934;CABECOTE DE SILICONE 10 CM2                                                      Ns: AUTO038259;238;não;IMPORTADO
BLING-16327864570;CHICOTE  CONECTOR PARA APLICADOR RF                                              Ns: 1260841001;96.8;não;IMPORTADO
BLING-16295877773;TFC - PLACA SMD HF IBRAMED PCI HFT010101 - MONTADA (VENDAS)                      Ns: 1224800001;60.8;não;IMPORTADO
BLING-16295877000;PLACA FONTE CHAVEADA POTENCIA 80V / CONTROLE 80V                                 Ns: 1216440001;463.2;não;IMPORTADO
BLING-16295876207;PLACA CENTELHADORA PARA DERMOSTEAM 220V                                          Ns: 1243370144;96;não;IMPORTADO
2000000000006;DERMOTONUS ESTETIC IBRAMED;250;não;IMPORTADO
2000000000004;VIBROCELL ESTETIC 220V;250;não;IMPORTADO
2000000000007;NEURODYN IBRAMED;250;não;IMPORTADO
2000000000003;ULTRASSOM;250;não;IMPORTADO
2000000000002;HECCUS IBRAMED;500;não;IMPORTADO
2000000000005;LASER PULSE COM CANETA;500;não;IMPORTADO
2000000000001;NEURODYN ESTETIC IBRAMED;250;não;IMPORTADO
BLING-16257471642;CABO APLICADOR CORPORAL RADIOFREQUENCIA + VACUO - MONTADO                        Ns: 05073100;176.87;não;IMPORTADO
BLING-16257468447;SENSOR DE NIVEL LF322E-40                                                        Ns: 0000000008;142.4;não;IMPORTADO
BLING-16257425536;PLACA CLUSTER P1 - RGB  808 - ANTARES                                            Ns: 0502300005;1104;não;IMPORTADO
BLING-16257424521;BOBINA HF 4 FIO P/ DERMOSTEAM  CUSTOMIZADA                                       Ns: 0000000088;28;não;IMPORTADO
BLING-16233341633;ELEMENTO FILTRANTE P/SISTEMA A LASER P/DEPILACAO;522.82;não;IMPORTADO
BLING-16233272551;PLACA CRIODERMIS M0015;557.64;não;IMPORTADO
BLING-16233272548;GABINETE BASE G MANOPLA INJETADO CRIODERMIS;46.47;não;IMPORTADO
03038559;SENSOR DE FLUXO ICFS-02;114;não;IMPORTADO
03032197;PLACA SMD RESERVATORIO PCI LAS060104B- MONTADA;44;não;IMPORTADO
02110189;CABO APLICADOR VEGA - PREPARADO;176;não;IMPORTADO
03038527;SENSOR DE NIVEL LF322E-40;142.4;não;IMPORTADO
02039897;PLACA CLUSTER P1 - RGB ANTARES;1104;não;IMPORTADO
03067013;ACABAMENTO EMBORRACHADO;23.2;não;IMPORTADO
03073007;CHICOTE CLUSTER P1 MONTADO;57.6;não;IMPORTADO
03029058;GABINETE APLICADOR CLUSTER ANTARES;44;não;IMPORTADO
03024210;BOBINA HF 4 FIO P/ DERMOSTEAM CUSTOMIZADA;28;não;IMPORTADO
0013441;OXITONE;3800;não;IMPORTADO
37444;Prolongador concreto 40x30 diversos;41.1;não;IMPORTADO
23198;Cx inspeção esgoto 100mm com tampa reforçada tigre;329.9;não;IMPORTADO
5014080;MEDICAL SAN CRIODERMIS FULL;40000;não;IMPORTADO
0186;OZONIOTERAPIA E FOTOTERAPIA OXY COM VACUO;9022.33;não;IMPORTADO
186;OZONIOTERAPIA E FOTOTERAPIA OXY COM VACUO;9022.33;não;IMPORTADO
PMCPU026.04;PLACA MONTADA CPU LUMMER R04 LOTE(S): 1185256;150;não;IMPORTADO
